rel_id,head,head_label,relation,tail,tail_label,description,doc_id,chunk_id
REL_000001,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,CONNECTS_TO,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_安全系统,Equipment,遥控系统连接独立的安全系统以实现紧急停车和故障保护,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_18
REL_000002,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,CONNECTS_TO,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_独立车钟系统,Equipment,非遥控模式下系统连接独立车钟系统进行发令和应答,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_18
REL_000003,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,CONNECTS_TO,驾驶室_主车钟,Equipment,遥控系统接收主车钟指令信号,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_1
REL_000004,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,CONNECTS_TO,驾驶室_应急车钟,Equipment,遥控系统接收应急车钟指令信号,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_1
REL_000005,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,CONTROLS,船舶_主推进系统,System,遥控系统对主推进系统进行整体控制,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_1
REL_000006,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,CONTROLS,船舶_主推进系统_气控换向齿轮箱,Equipment,遥控系统直接控制主推进系统中的气控换向齿轮箱实现换向,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_5
REL_000007,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,CONTROLS,船舶_主推进系统_陕柴 PC2-6 型船用主机,Equipment,遥控装置通过控制命令调节主机转速,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_23
REL_000008,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,DIAGNOSED_BY,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_调试_遥控操纵功能检查,DiagnosticMethod,系统调试需通过管路吹净检查确保管路清洁,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_24
REL_000009,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,HAS_COMPONENT,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_机舱控制箱,Equipment,遥控系统包含机舱控制箱作为组成设备,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_2
REL_000010,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,HAS_COMPONENT,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_气源,Component,遥控系统包含双气源净化装置作为组成部件,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_9
REL_000011,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,HAS_COMPONENT,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_转速测量显示单元,Equipment,遥控系统包含转速测量显示单元作为组成设备,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_9
REL_000012,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,HAS_COMPONENT,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_辅车钟单元,Equipment,遥控系统包含辅车钟单元作为组成设备,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_9
REL_000013,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,HAS_COMPONENT,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_遥控台,Equipment,遥控系统包含遥控台作为组成设备,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_2
REL_000014,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,HAS_COMPONENT,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_遥控显示控制板,Component,遥控系统包含遥控显示控制板作为组成部件,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_9
REL_000015,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,HAS_COMPONENT,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_遥控调速机构_膜片气缸,Component,遥控系统包含遥控调速机构作为组成部件,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_9
REL_000016,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,HAS_COMPONENT,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_齿轮箱油压检测板,Component,遥控系统包含齿轮箱油压检测板作为组成部件,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_9
REL_000017,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,HAS_FAULT,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_管路堵塞,FaultPhenomenon,系统管路安装不当可能导致管路堵塞故障,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_4
