entity_id,name,label,description,doc_id,chunk_id,all_labels,source
ENT_000001,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_安全系统_停车电磁阀,Component,安全系统自带用于主机断油停车的电磁阀；紧急停车时切断供气或供油回路的关键执行阀件,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_19;电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_25,,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书.md
ENT_000002,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_机舱控制箱_蜂鸣器,Component,机舱控制箱内发出声响报警信号的音频设备,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_20,,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书.md
ENT_000003,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_气源,Component,系统气动执行所需的动力源；系统内的气源处理组件；系统组成中的气源过滤与净化处理模块；双气源净化装置中的二位三通开关阀，用于控制气源通断；双气源净化装置中的压力调节部件，将高压气源减压至工作压力；双气源净化装置中的过滤部件，用于去除压缩空气中的杂质；双气源净化装置中的润滑部件，原文称油雾气，用于给气动元件加油润滑,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_1;电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_16;电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_3;电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_9,,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书.md
ENT_000004,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_电源_一体化开关电源,Component,电源设备中将 AC220V 转换为 DC24V 的核心模块,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_15,,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书.md
ENT_000005,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_电源_蓄电池,Component,电源设备中的备用 DC24V 供电单元,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_15,,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书.md
ENT_000006,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_转速测量显示单元_主机测速探头盒,Component,用于测量主机转速的磁感应探头，安装于接线盒中；用于测量尾轴转速的磁感应探头，安装于接线盒中；主机测速探头的安装接线盒，包含 2 个测速探头；尾轴测速探头的安装接线盒，包含 1 个测速探头,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_13,,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书.md
ENT_000007,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_转速测量显示单元_测速齿盘,Component,用于尾轴转速测量的感应齿盘，旋转时产生磁感应信号,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_13,,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书.md
ENT_000008,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_辅车钟单元_切换开关,Component,机旁 ATE 上用于确定请求和应答部位的物理开关,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_12,,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书.md
ENT_000009,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_遥控台_调光旋钮,Component,遥控台上用于调节指示灯亮度的旋钮部件,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_24,,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书.md
ENT_000010,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_遥控显示控制板,Component,遥控台内用于单手柄无级操纵的核心输入部件；手柄式无级调速装置，用于发出转速及换向指令信号；遥控台内显示机旁集控驾控及正倒车状态的指示模块；气源处理单元中的关键过滤部件，用于净化输入空气；阀箱内用于比例控制气压的核心阀件；机舱控制箱内监测气源压力丢失的安全控制部件；系统组成中的显示与控制电路板模块；遥控系统的核心人机交互界面，用于显示状态和接收指令；集成紧急停车、越控、试验及消音按钮的控制面板；遥控控制单元内的核心可编程逻辑控制器微计算机；带灯按钮，用于紧急情况下切断主机运行；带灯按钮，用于在安全保护触发时强制越控操作；用于检测面板指示灯是否完好的功能按钮；机舱控制箱内用于机旁显示控制功能的电路板；机舱控制箱内实现机旁控制逻辑的核心单元模块；机舱控制箱内用于显示报警状态的指示灯组件板；阀箱内部核心部件，负责电信号到气信号的转换；阀箱内控制主机正倒车动作的关键电磁阀组件；阀箱内用于切换控制位置的气动阀门；阀箱面板上用于机旁遥控切换及正倒车选择的控制阀门；机旁操纵时用于产生 AH/IDLE/AST 气信号控制离合器的气动阀；设在机旁显示控制单元上用于实现遥控与机旁操纵部位转换的气阀；故障降速或停车后用于人工确认复位的按钮；气源失压时得电切断调速气路的保护阀门 YV5；用于检查控制面板指示灯及蜂鸣器完好性的操作按钮；用于消除声响报警信号但保留光信号的操作按钮；机旁显示箱上用于控制正倒车状态的阀门；机旁显示箱上用于选择控制方式的阀门；机旁显示箱上用于切换控制模式的开关；机旁显示箱上用于操纵齿轮箱合排脱排的阀门；组合灯板上用于指示遥控状态是否正常的指示灯组件；主控制单元上用于显示系统状态和无故障指示的操作界面；遥控台上用于接通或转换系统电源的开关部件；遥控台上用于指示电源接通状态的指示灯；遥控台上用于切换遥控与机旁控制模式的开关；机舱控制箱上用于切换遥控与机旁控制模式的开关；位于遥控操纵器内部用于设定起始输出压力的精密阀门；用于显示气源失压故障状态的指示灯；用于触发驾驶室与机舱联络信号的按钮；用于显示联络信号状态的指示灯；安装在阀箱内部用于过滤气源杂质的核心部件；阀箱内执行控制动作的各类阀门组件统称,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_10;电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_11;电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_14;电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_15;电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_18;电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_19;电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_20;电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_22;电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_23;电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_24;电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_25;电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_27;电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_5;电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_6;电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_7;电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_9,,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书.md
ENT_000011,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_遥控调速机构_膜片气缸,Component,系统组成中的执行调速功能的机械或电气机构；遥控调速机构的核心执行部件，将气压信号转换为机械位移；遥控调速机构中连接膜片气缸与主机调速器的机械传动部件,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_16;电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_9,,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书.md
ENT_000012,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_阀箱_膜片执行器,Component,阀箱内将气压转换为机械位移的执行部件；阀箱内用于控制主机转速的膜片执行部件,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_22;电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_7,,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书.md
ENT_000013,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_齿轮箱油压检测板,Component,系统组成中的齿轮箱润滑油压力检测电路板,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_9,,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书.md
ENT_000014,机舱总线制监测报警系统_报警控制单元_声响器,Component,用于发出声音报警信号的内置蜂鸣器组件,电气::机舱总线制监测报警使用说明书,电气::机舱总线制监测报警使用说明书::chunk_1,,机舱总线制监测报警使用说明书.md
